run_id,approach,comms_dropout,seed,steps,grid_size,terrain_source,terrain_cache_path,ignore_happo_env
90,random_walk,0.0,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
91,random_walk,0.0,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
92,random_walk,0.0,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
93,random_walk,0.0,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
94,random_walk,0.0,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
95,random_walk,0.0,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
96,random_walk,0.0,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
97,random_walk,0.0,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
98,random_walk,0.0,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
99,random_walk,0.0,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
100,random_walk,0.0,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
101,random_walk,0.0,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
102,random_walk,0.2,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
103,random_walk,0.2,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
104,random_walk,0.2,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
105,random_walk,0.2,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
106,random_walk,0.2,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
107,random_walk,0.2,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
108,random_walk,0.2,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
109,random_walk,0.2,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
110,random_walk,0.2,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
111,random_walk,0.2,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
112,random_walk,0.2,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
113,random_walk,0.2,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
114,random_walk,0.2,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
115,random_walk,0.2,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
116,random_walk,0.2,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
117,random_walk,0.2,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
118,random_walk,0.2,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
119,random_walk,0.4,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
120,random_walk,0.4,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
121,random_walk,0.4,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
122,random_walk,0.4,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
123,random_walk,0.4,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
124,random_walk,0.4,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
125,random_walk,0.4,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
126,random_walk,0.4,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
127,random_walk,0.4,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
128,random_walk,0.4,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
129,random_walk,0.4,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
130,random_walk,0.4,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
131,random_walk,0.4,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
132,random_walk,0.4,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
133,random_walk,0.4,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
134,random_walk,0.4,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
135,random_walk,0.4,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
136,random_walk,0.6,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
137,random_walk,0.6,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
138,random_walk,0.6,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
139,random_walk,0.6,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
140,random_walk,0.6,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
